"
                    Zone 2 London - spacious renovated
                  ",70,"
  Entire home/flat

"
"
                    Large Bedroom (West Kensington)
                  ",25,"
  Private room

"
"
                    (TB03) Double Room London Bridge
                  ",50,"
  Private room
     · 2 reviews

"
"
                    Light, spacious central London
                  ",22,"
  Private room
     ·       
        
                  
        
        
        
        

        
        
          
          
          
          
          
        
      

     · 3 reviews

"
"
                    CHEAP LARGE ROOM in London
                  ",22,"
  Private room

"
"
                    London(central) - One double room
                  ",45,"
  Private room
     ·       
        
                  
        
        
        
        

        
        
          
          
          
          
          
        
      

     · 61 reviews

"
"
                    Cute flat ideal for couples central
                  ",59,"
  Entire home/flat

"
"
                    Incredible location in Camden Town
                  ",40,"
  Private room

"
"
                    Central Modern High-Spec En-suite
                  ",48,"
  Entire home/flat
     ·       
        
                  
        
        
        
        

        
        
          
          
          
          
          
        
      

     · 192 reviews

"
"
                    Monks Cell with Single Bed and Desk
                  ",25,"
  Private room
     ·       
        
                  
        
        
        
        

        
        
          
          
          
          
          
        
      

     · 20 reviews

"
"
                    Double room short travel to Camden
                  ",30,"
  Private room
     · 1 review

"
"
                    GREAT AREA + GREAT ROOM
                  ",51,"
  Private room

"
"
                    Studio flat by the British Museum
                  ",70,"
  Entire home/flat

"
"
                    *New*Luxury 2 bed near Liverpool St
                  ",150,"
  Entire home/flat

"
"
                    Lovely Studio at perfect location
                  ",99,"
  Entire home/flat
     · 1 review

"
"
                    One bedroom flat in Wood Green
                  ",40,"
  Entire home/flat

"
"
                    Stylish oasis & good price single!
                  ",26,"
  Private room
     ·       
        
                  
        
        
        
        

        
        
          
          
          
          
          
        
      

     · 83 reviews

"
"
                    St Pancras Clock Tower Apartment
                  ",450,"
  Entire home/flat
     ·       
        
                  
        
        
        
        

        
        
          
          
          
          
          
        
      

     · 38 reviews

"
